song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Calling My Spirit,2019-02-16,Kodak Black,67,64.0,46,10,4769e118-f401-4ccc-bf3c-daae7b83f370,danceable,rhy,male,not_aggressive,voice,119.952476501,A#,0.343877613544,not_happy
Ella Quiere Beber,2019-02-16,Anuel AA & Romeo Santos,68,67.0,61,14,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Millionaire,2019-02-16,Chris Stapleton,69,70.0,67,9,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662,danceable,rhy,male,not_aggressive,voice,142.815734863,A#,0.937531888485,happy
You,2019-02-16,Jacquees,70,63.0,58,11,7df17530-fdc9-4e2f-889f-5f69707263e1,,,,,,,,,
Good Girl,2019-02-16,Dustin Lynch,71,59.0,44,13,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
Love Someone,2019-02-16,Lukas Graham,72,80.0,72,6,c66ab8df-a941-4d63-8ae6-925fe85e8162,,,,,,,,,
Murder On My Mind,2019-02-16,YNW Melly,73,78.0,73,3,fdb154f1-7019-476e-bfa9-b077e1cb1942,danceable,rhy,female,not_aggressive,voice,114.920906067,C,0.745246529579,not_happy
Down To The Honkytonk,2019-02-16,Jake Owen,74,82.0,74,6,59b69ea3-1632-4f7e-bec6-154e8fb556b7,danceable,roc,male,not_aggressive,voice,163.89074707,D#,0.927729904652,happy
Saturday Nights,2019-02-16,Khalid & Kane Brown,75,61.0,57,5,51f36195-a888-4487-9a8e-9a03b7042625,not_danceable,rhy,female,not_aggressive,voice,84.0346679688,A#,0.551036953926,not_happy
Yosemite,2019-02-16,Travis Scott,77,75.0,25,16,1892f310-8713-47e5-b9a8-06f8d4021ca9,danceable,rhy,female,not_aggressive,voice,128.084762573,F,0.905719935894,not_happy
Ruin My Life,2019-02-16,Zara Larsson,78,79.0,76,6,78d36ccc-1757-4cbc-a52f-3976a05b8ce4,danceable,pop,female,not_aggressive,voice,124.826942444,B,0.594790995121,not_happy
Make It Sweet,2019-02-16,Old Dominion,87,93.0,87,6,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1,not_danceable,roc,male,not_aggressive,voice,89.9803771973,G,0.869421780109,happy
Here Tonight,2019-02-16,Brett Young,89,96.0,88,5,562c319d-570d-4c6f-bdd7-98b0bb993af1,danceable,roc,male,not_aggressive,voice,95.8107070923,B,0.810961723328,not_happy
Splashin,2019-02-16,Rich The Kid,90,92.0,90,3,1512af1b-55e5-4f4a-9c10-542e900199c7,danceable,rhy,male,not_aggressive,voice,99.8042755127,A#,0.919597387314,not_happy
Keanu Reeves,2019-02-16,Logic,91,62.0,38,3,c405af0d-bec2-480c-95f6-d6d4373f0779,danceable,rhy,female,not_aggressive,instrumental,113.232421875,D,0.938509583473,not_happy
Burn Out,2019-02-16,Midland,93,95.0,92,5,f3cc70b6-e05e-432d-9c4d-1f939e1c225f,,,,,,,,,
Miss Me More,2019-02-16,Kelsea Ballerini,95,,95,1,9fadef88-9f19-4b9b-a67f-f369eb78dd2c,danceable,pop,female,not_aggressive,voice,95.9835739136,D,0.897515833378,not_happy
Ocean Eyes,2019-02-16,Billie Eilish,96,,96,6,15dafb91-e02e-4feb-b183-f5b547cff2f6,,,,,,,,,
Crushed Up,2019-02-16,Future,97,71.0,43,5,8cabbea1-8c7a-4156-9785-937109f420b9,danceable,rhy,female,not_aggressive,voice,156.097702026,A#,0.816191315651,not_happy
Night Shift,2019-02-16,Jon Pardi,98,98.0,98,2,9fb54cc1-10b2-46ac-8951-c43e46c3e122,danceable,roc,male,not_aggressive,voice,95.992805481,D,0.935464859009,happy
Close Friends,2019-02-16,Lil Baby,99,,28,15,d3290ee1-9e64-4f0d-a9f7-97ef42b9708a,danceable,rhy,female,not_aggressive,voice,161.576705933,A#,0.807025194168,not_happy
On My Way To You,2019-02-16,Cody Johnson,100,,91,2,c9420dc8-1d90-444a-9caf-9e07863fdf62,not_danceable,pop,female,not_aggressive,voice,156.397994995,C#,0.765996813774,happy
7 Rings,2019-02-23,Ariana Grande,1,1.0,1,4,fc8a804f-7c62-4e99-b614-1f7eb75a9482,,,,,,,,,
Happier,2019-02-23,Marshmello & Bastille,6,2.0,2,26,63b22191-d27c-44f8-b393-d548fe734f3b,,,,,,,,,
Sicko Mode,2019-02-23,Travis Scott,7,5.0,1,28,b7326a80-8332-4ee0-8238-d6737efba347,danceable,hip,male,not_aggressive,voice,154.818984985,A#,0.832165181637,not_happy
High Hopes,2019-02-23,Panic! At The Disco,8,6.0,4,28,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Wow.,2019-02-23,Post Malone,9,9.0,8,8,1de0c612-7251-40bf-aec9-a53bb1157c06,,,,,,,,,
Eastside,2019-02-23,"benny blanco, Halsey & Khalid",10,11.0,9,31,787087cb-cb94-442d-98dd-2eddc59f1f84,danceable,rhy,female,not_aggressive,voice,89.8307800293,D,0.846083641052,not_happy
Middle Child,2019-02-23,J. Cole,11,8.0,4,4,3f6861eb-7173-43e3-bd3b-242ab94fcde2,danceable,rhy,female,not_aggressive,voice,123.900672913,A#,0.790315449238,not_happy
Needy,2019-02-23,Ariana Grande,14,,14,1,2666a0a7-8b8b-4854-8f33-2e38dce5bbce,,,,,,,,,
A Lot,2019-02-23,21 Savage,15,12.0,12,8,401f7e9c-dede-4aea-a7f3-4a85456bc268,,,,,,,,,
Drip Too Hard,2019-02-23,Lil Baby & Gunna,16,13.0,4,22,f65108f7-c7ea-4c86-be42-fff229d8cbfb,,,,,,,,,
NASA,2019-02-23,Ariana Grande,17,,17,1,c838d57f-59b9-42fb-afda-c7c6d6628882,,,,,,,,,
Shallow,2019-02-23,Lady Gaga & Bradley Cooper,18,24.0,5,20,e8191687-56bf-4e69-860f-a898735ec268,,,,,,,,,
Money,2019-02-23,Cardi B,19,16.0,13,17,765b0769-7801-486e-986c-0b0e2967efba,,,,,,,,,
Thotiana,2019-02-23,Blueface,20,20.0,20,5,710f99d3-fa5d-4ab0-917d-374358e034c2,danceable,rhy,male,not_aggressive,voice,103.95426178,A#,0.692185342312,not_happy
Ghostin,2019-02-23,Ariana Grande,25,,25,1,d49256c4-4657-450a-8758-c12493c6244a,,,,,,103.751998901,,0.762028574944,
Fake Smile,2019-02-23,Ariana Grande,26,,26,1,c50b5ee1-768e-496e-9871-521a4b0f8971,danceable,rhy,female,not_aggressive,voice,84.9028549194,B,0.822528958321,not_happy
Bad Idea,2019-02-23,Ariana Grande,27,,27,1,c8645b2d-2646-400b-ae29-09473314d538,,,,,,,,,
Better Now,2019-02-23,Post Malone,29,21.0,3,42,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Dancing With A Stranger,2019-02-23,Sam Smith & Normani,30,26.0,26,5,aa243e48-c9f6-4753-8b42-b2342bb8988b,danceable,rhy,male,not_aggressive,voice,102.938369751,F,0.958320140839,not_happy
Tequila,2019-02-23,Dan + Shay,31,31.0,21,41,9703cf42-53d5-42e1-8159-93ff890eec3e,danceable,pop,male,not_aggressive,voice,85.9320831299,B,0.89390206337,not_happy
Bury A Friend,2019-02-23,Billie Eilish,32,14.0,14,3,fedfbc44-559b-4676-ac8b-35fbebb0400f,not_danceable,jaz,female,not_aggressive,voice,125.839836121,G,0.478607833385,not_happy
Leave Me Alone,2019-02-23,Flipp Dinero,33,25.0,20,22,473f3033-87c5-49db-83df-b751cbb6108d,danceable,rhy,female,not_aggressive,voice,150.245819092,A#,0.787597715855,not_happy
Youngblood,2019-02-23,5 Seconds Of Summer,34,23.0,7,37,65a9d41d-9034-49d7-afa8-d7e227742898,,,,,,,,,
Beautiful Crazy,2019-02-23,Luke Combs,36,36.0,36,14,6d95ede5-1d26-43b4-b53a-56f2cbe0958b,,,,,,,,,
Sweet But Psycho,2019-02-23,Ava Max,37,30.0,30,9,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9,danceable,pop,female,not_aggressive,voice,132.992660522,C#,0.925689935684,happy
In My Head,2019-02-23,Ariana Grande,38,,38,1,12aa86e5-fa40-463d-8d9e-2ba46f51f3dc,,,,,,,,,
Talk,2019-02-23,Khalid,44,,44,1,31dc0c27-2927-48a6-b622-823c15f824b4,,,,,,,,,
I Like It,2019-02-23,"Cardi B, Bad Bunny & J Balvin",45,39.0,1,45,e6e2b27b-2de0-445d-b4a8-bc722c3ebcfe,danceable,hip,male,not_aggressive,voice,136.020812988,F,0.84877872467,not_happy
Be Alright,2019-02-23,Dean Lewis,46,43.0,40,16,08467bce-dc5d-43f5-b591-fe3ecf1b956c,,,,,,,,,
Look Back At It,2019-02-23,A Boogie Wit da Hoodie,47,32.0,32,10,cc101b68-19c4-4dd2-be11-e4c0438130d4,,,,,,,,,
Make Up,2019-02-23,Ariana Grande,48,,48,1,3d48d56d-edff-4d62-abe0-92d029a5c233,danceable,rhy,female,not_aggressive,voice,140.275390625,D,0.832345604897,not_happy
Baby Shark,2019-02-23,Pinkfong,49,40.0,32,7,88383c15-26f1-464e-9d47-768dc62c4937,,,,,,,,,
Envy Me,2019-02-23,Calboy,50,45.0,41,9,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d,,,,,,,,,
This Is It,2019-02-23,Scotty McCreery,52,42.0,42,10,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Backin' It Up,2019-02-23,Pardison Fontaine Featuring Cardi B,53,48.0,40,18,7a699244-9155-4d98-96f5-5363209e0f7b,danceable,hip,female,not_aggressive,instrumental,82.4016189575,A#,0.844953835011,not_happy
Girl Like You,2019-02-23,Jason Aldean,55,51.0,46,12,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Lost In The Fire,2019-02-23,Gesaffelstein & The Weeknd,58,49.0,27,5,704c3bd0-e889-42bb-9c34-34c2a79a7060,danceable,dan,female,not_aggressive,voice,100.971824646,G,0.912136137486,not_happy
