song,artist,this_week,last_week,peak_position,weeks_on_chart
Purple Haze,Dion,71,78,71,2
Tragedy,Brian Hyland,72,74,72,4
Kum Ba Yah,Tommy Leonetti,73,92,73,3
30-60-90,Willie Mitchell,74,,74,1
Poor Side Of Town,Al Wilson,75,75,75,3
I'm Gonna Hold On Long As I Can,The Marvelettes,76,76,76,3
Getting The Corners,The T.S.U. Toronadoes,77,81,77,3
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,78,80,78,5
May I,Bill Deal & The Rhondels,79,89,79,3
Hey! Baby,Jose Feliciano,80,100,80,2
Bubble Gum Music,Rock & Roll Double Bubble,81,87,81,3
The Greatest Love,Dorsey Burnette,82,82,82,2
He Called Me Baby,Ella Washington,83,77,77,3
The Grooviest Girl In The World,The Fun And Games,84,86,84,3
Almost Persuaded,Etta James,85,79,79,3
Dizzy,Tommy Roe,86,,86,1
Let It Be Me,Glen Campbell & Bobbie Gentry,87,90,87,2
That's Your Baby,Joe Tex,88,88,88,3
Grits Ain't Groceries (All Around The World),Little Milton,89,,89,1
Woman Helping Man,The Vogues,90,,90,1
Mendocino,Sir Douglas Quintet,91,96,91,3
This Girl's In Love With You,Dionne Warwick,92,,92,1
The Carroll County Accident,Porter Wagoner,93,93,93,2
Will You Be Staying After Sunday,The Peppermint Rainbow,94,95,94,3
Do Your Thing,The Watts 103rd Street Rhythm Band,95,,95,1
My Special Prayer,Percy Sledge,96,,96,1
Someday Soon,Judy Collins,97,,97,1
Please Don't Desert Me Baby,Gloria Walker/Chevelles,98,98,98,2
Saturday Night At The World,Mason Williams,99,,99,1
Cloud Nine,Mongo Santamaria,100,,100,1
Crimson And Clover,Tommy James And The Shondells,1,1,1,9
Everyday People,Sly & The Family Stone,2,2,2,11
Worst That Could Happen,Brooklyn Bridge,3,3,3,8
Touch Me,The Doors,4,4,4,7
Build Me Up Buttercup,The Foundations,5,10,5,6
I Started A Joke,Bee Gees,6,7,6,8
I Heard It Through The Grapevine,Marvin Gaye,7,5,1,12
